origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
MEX,Mexico City,VVO,"Vladivostok, Russia",RU,USD,1217,2026-07-31,https://www.aviasales.com/search/MEX3107VVO1?marker=741311
MEX,Mexico City,NQZ,"Astana, Kazakhstan",KZ,USD,1222,2026-07-31,https://www.aviasales.com/search/MEX3107NQZ1?marker=741311
MEX,Mexico City,LGB,"Long Beach, United States",US,USD,1291,2026-07-20,https://www.aviasales.com/search/MEX2007LGB1?marker=741311
MEX,Mexico City,SVX,"Yekaterinburg, Russia",RU,USD,1294,2026-07-19,https://www.aviasales.com/search/MEX1907SVX1?marker=741311
MEX,Mexico City,IKT,"Irkutsk, Russia",RU,USD,1511,2026-07-17,https://www.aviasales.com/search/MEX1707IKT1?marker=741311
MEX,Mexico City,WLG,"Wellington, New Zealand",NZ,USD,1636,2026-07-22,https://www.aviasales.com/search/MEX2207WLG1?marker=741311
MEX,Mexico City,FUO,"Foshan, China",CN,USD,1741,2026-07-25,https://www.aviasales.com/search/MEX2507FUO1?marker=741311
MEX,Mexico City,UUD,"Ulan-Ude, Russia",RU,USD,1759,2026-07-19,https://www.aviasales.com/search/MEX1907UUD1?marker=741311
AKL,Auckland,BNN,"Bronnoysund, Norway",NO,USD,1296,2026-07-30,https://www.aviasales.com/search/AKL3007BNN1?marker=741311
MEL,Melbourne,SWF,"Newburgh, United States",US,USD,1207,2026-07-27,https://www.aviasales.com/search/MEL2707SWF1?marker=741311
MEL,Melbourne,LIM,"Lima, Peru",PE,USD,1222,2026-07-23,https://www.aviasales.com/search/MEL2307LIM1?marker=741311
MEL,Melbourne,OAK,"Oakland, United States",US,USD,1246,2026-07-26,https://www.aviasales.com/search/MEL2607OAK1?marker=741311
MEL,Melbourne,SJC,"San Jose, United States",US,USD,1332,2026-07-26,https://www.aviasales.com/search/MEL2607SJC1?marker=741311
GRU,Sao Paulo,SZX,"Shenzhen, China",CN,USD,1173,2026-07-31,https://www.aviasales.com/search/GRU3107SZX1?marker=741311
GRU,Sao Paulo,KHV,"Khabarovsk, Russia",RU,USD,1195,2026-07-29,https://www.aviasales.com/search/GRU2907KHV1?marker=741311
GRU,Sao Paulo,DAD,"Da Nang, Vietnam",VN,USD,1240,2026-07-31,https://www.aviasales.com/search/GRU3107DAD1?marker=741311
GRU,Sao Paulo,MCX,"Makhachkala, Russia",RU,USD,1241,2026-07-26,https://www.aviasales.com/search/GRU2607MCX1?marker=741311
GRU,Sao Paulo,BNE,"Brisbane, Australia",AU,USD,1288,2026-07-27,https://www.aviasales.com/search/GRU2707BNE1?marker=741311
GRU,Sao Paulo,IKT,"Irkutsk, Russia",RU,USD,1338,2026-07-21,https://www.aviasales.com/search/GRU2107IKT1?marker=741311
